MH218629	NORO_158_01_04_2015|GII.4[P31]|United Kingdom|2015
MH218638	NORO_169_02_07_2015|GII.4[P31]|United Kingdom|2015
MH218703	NORO_45_31_07_2014|GII.4[P4]|United Kingdom|2014
MH218727	NORO_87_18_02_2015|GI.3[P3]|United Kingdom|2015
MH218733	NORO_94_23_10_2014|GII.2[P31]|United Kingdom|2014
MH218734	NORO_95_25_01_2015|GII.2[P2]|United Kingdom|2015
MH260483	ST466|GII.4[P16]|USA|2017
MH260484	ST435|GII.4[P16]|USA|2017
MH702267	Hu_BT_2013_GII.P16-GII.3_ETR-NV-133|GII.3[P16]|Bhutan|2013
MH979230	Hu_GIIPe-GII.4 sydney_CGMH1411_2018_TW|GII.4[P31]|Taiwan|2018
MK067289	dog_GIV.2_AN843_USA_2011|GIV.2[GVI.P1]|USA|2011
MK282257	CMC-02|GII.17[P17]|South Korea|2013
LC209479	Hu_GII_JP_2011_GII.P16_GII.2_Ehime-45|GII.2[P16]|Japan|2011
LC342057	Hu_JP_1998_GI.PNAd-GI.6_No20-Saitama-98-17|Japan|1998
LC342058	Hu_JP_1998_GI.PNAd-GI.6_No24-Saitama-98-26|Japan|1998
LC342059	Hu_JP_1999_GII.PNAe-GII.12_No35-Saitama-99-1|GII.12[PNA7]|Japan|1999
LC369214	NoV_Hu_JP_2014_GII.P17-GII.17_AO-8|GII.17[P17]|Japan|2014
LC369217	NoV_Hu_JP_2015_GII.P17-GII.17_GU-57|GII.17[P17]|Japan|2015
LC644992	Hu_GII.17[P17]_1379F_Tokyo_2021_Japan|GII.17[P17]|Japan|2021
LC699529	Hu_GII.4[P31]_2448_Tokyo_2020_Japan|GII.4[P31]|Japan|2020
LC726063	Hu_GII.3[P12]_1152_Tokyo_2022_Japan|GII.3[P12]|Japan|2022
LC726075	Hu_GII.4[P31]_1145F_Tokyo_2022_Japan|GII.4[P31]|Japan|2022
LC726084	Hu_GII.2[P16]_788F_Tokyo_2021_Japan|GII.2[P16]|Japan|2021
LC726085	Hu_GII.2[P16]_1068F_Tokyo_2022_Japan|GII.2[P16]|Japan|2022
LC744879	LM14-27|GII.4[P31]|Japan|2014
LC769682	Norovirus GII_Hu_IN_2019_GII.3[P16]_NICED-BCH-10486|GII.3[P16]|India|2019
LC769687	Norovirus GI_Hu_IN_2019_GI.3[P13]_NICED-BCH-10892|GI.3[P13]|India|2019
LC769689	Norovirus GII_Hu_IN_2019_GII.3[P16]_NICED-BCH-11123|GII.3[P16]|India|2019
LC769695	Norovirus GII_Hu_IN_2019_GII.4 Sydney[P16]_NICED-BCH-11612|GII.4[P16]|India|2019
